Gordexola;80;bizkaia
Górliz;310;bizkaia
Getxo;3651;bizkaia
Güeñes;475;bizkaia
Gernika-Lumo;912;bizkaia
Guizaburuaga;7;bizkaia
Ibarrangelu;21;bizkaia
Ispaster;27;bizkaia
Izurtza;9;bizkaia
Lanestosa;19;bizkaia
Larrabetzu;79;bizkaia
Laukiz;38;bizkaia
Leioa;1654;bizkaia
Lemoa;216;bizkaia
Lemoiz;57;bizkaia
Lekeitio;283;bizkaia
Mallabia;31;bizkaia
Mañaria;19;bizkaia
Markina-Xemein;152;bizkaia
Maruri/Jatabe;34;bizkaia
Mendata;11;bizkaia
Mendexa;12;bizkaia
Meñaka;18;bizkaia
Ugao-Miraballes;241;bizkaia
Morga;22;bizkaia
Muxika;67;bizkaia
Mundaka;84;bizkaia
Mungia;921;bizkaia
Aulesti;16;bizkaia
Muskiz;509;bizkaia
Otxandio;41;bizkaia
Ondarroa;422;bizkaia
Orduña;196;bizkaia
Orozko;48;bizkaia
Sukarrieta;24;bizkaia
Plentzia;246;bizkaia
Portugalete;3208;bizkaia
Errigoiti;22;bizkaia
Valle de Trápaga-Trapagaran;817;bizkaia
Lezama;96;bizkaia
Santurtzi;3637;bizkaia
Ortuella;666;bizkaia
Sestao;2657;bizkaia
Sopelana;699;bizkaia
Sopuerta;142;bizkaia
Trucios-Turtzioz;37;bizkaia
Ubide;6;bizkaia
Urdúliz;221;bizkaia
Balmaseda;650;bizkaia
Atxondo;50;bizkaia
Bedia;55;bizkaia
Areatza;56;bizkaia
Igorre;214;bizkaia
Zaldibar;145;bizkaia
Zalla;657;bizkaia
Zaratamo;116;bizkaia
Derio;309;bizkaia
Erandio;1548;bizkaia
Loiu;81;bizkaia
Sondika;190;bizkaia
Zamudio;151;bizkaia
Forua;41;bizkaia
Kortezubi;9;bizkaia
Murueta;14;bizkaia
Nabarniz;10;bizkaia
Iurreta;209;bizkaia
Ajangiz;16;bizkaia
Alonsotegi;241;bizkaia
Zierbena;96;bizkaia
Arratzu;10;bizkaia
Bolivar;12;bizkaia
